"","scale","total","turnover","nestedness"
"1","inter-province",0.957162641738077,0.90770751356694,0.0494551281711371
"2","inter-site",0.858027079303675,0.76474358974359,0.0932834895600853
"3","inter-site",0.772504091653028,0.631299734748011,0.141204356905017
"4","inter-site",0.963970335137841,0.932577558644759,0.0313927764930829
"5","inter-site",0.950370396132577,0.919081372271052,0.0312890238615256
"6","inter-site",0.942470908235679,0.898179317334492,0.0442915909011875
"7","inter-site",NA,NA,NA
"8","inter-site",0.644808743169399,0.453781512605042,0.191027230564357
"9","inter-site",0.898150030494003,0.806039488966318,0.0921105415276846
"10","inter-site",0.644444444444444,0.186440677966102,0.458003766478343
"11","inter-site",0.780907204269197,0.567583382094792,0.213323822174404
"12","inter-site",0.766101694915254,0.64,0.126101694915254
"13","inter-site",0.93314957438184,0.903980064743008,0.0291695096388328
"14","inter-site",0.920765151171751,0.853207927443735,0.0675572237280158
"15","inter-site",0.549618320610687,0.508333333333333,0.0412849872773537
"16","inter-site",0.691358024691358,0.418604651162791,0.272753373528567
"17","inter-site",0.744709897610922,0.683050847457627,0.0616590501532944
"18","inter-site",0.725274725274725,0.590163934426229,0.135110790848496
"19","inter-site",0.803883495145631,0.728859060402685,0.0750244347429465
"20","inter-site",0.288461538461538,0.13953488372093,0.148926654740608
"21","inter-site",0.230769230769231,0.210526315789474,0.0202429149797571
"22","inter-site",0.627906976744186,0.238095238095238,0.389811738648948
"23","inter-site",NA,NA,NA
"24","inter-site",0.722857142857143,0.542452830188679,0.180404312668464
"25","inter-site",0.43921568627451,0.334883720930233,0.104331965344277
"26","inter-transect",0.827777777777778,0.771294433266264,0.0564833445115135
"27","inter-transect",0.574712643678161,0.471428571428571,0.103284072249589
"28","inter-transect",0.708661417322835,0.633663366336634,0.074998050986201
"29","inter-transect",NA,NA,NA
"30","inter-transect",0.857346140163643,0.785904965296316,0.0714411748673268
"31","inter-transect",0.594871794871795,0.590673575129534,0.00419821974226119
"32","inter-transect",0.732860520094563,0.652307692307692,0.0805528277868703
"33","inter-transect",0.958247819394561,0.931646367072659,0.0266014523219028
"34","inter-transect",0.659090909090909,0.615384615384615,0.0437062937062937
"35","inter-transect",0.863661971830986,0.797996661101836,0.0656653107291495
"36","inter-transect",NA,NA,NA
"37","inter-transect",0.783216783216783,0.710280373831776,0.0729364093850075
"38","inter-transect",0.827123695976155,0.773879142300195,0.0532445536759601
"39","inter-transect",NA,NA,NA
"40","inter-transect",0.62882096069869,0.591346153846154,0.0374748068525361
"41","inter-transect",0.861723446893788,0.737642585551331,0.124080861342457
"42","inter-transect",0.92172667024897,0.898662750251217,0.0230639199977527
"43","inter-transect",0.854545454545454,0.816723940435281,0.0378215141101739
"44","inter-transect",NA,NA,NA
"45","inter-transect",0.703703703703704,0.333333333333333,0.37037037037037
"46","inter-transect",0.811188811188811,0.660682226211849,0.150506584976962
"47","inter-transect",NA,NA,NA
"48","inter-transect",0.809730668983493,0.747986191024166,0.0617444779593269
"49","inter-transect",0.793893129770992,0.742857142857143,0.0510359869138495
"50","inter-transect",0.878296146044625,0.805194805194805,0.0731013408498196
"51","inter-transect",0.908220064724919,0.871998555695974,0.0362215090289451
"52","inter-transect",0.758426966292135,0.612612612612613,0.145814353679522
"53","inter-transect",0.927844943388985,0.888691533451747,0.0391534099372382
"54","inter-transect",0.785485592315902,0.713266761768902,0.0722188305470002
"55","inter-transect",0.676829268292683,0.598484848484849,0.0783444198078344
"56","inter-transect",0.82962962962963,0.711297071129707,0.118332558499923
"57","inter-transect",0.899744804958075,0.859955864878628,0.0397889400794467
"58","inter-transect",0.812992125984252,0.768856447688564,0.0441356782956875
"59","inter-transect",0.73639661426844,0.710875331564987,0.0255212827034534
"60","inter-transect",0.62280701754386,0.605504587155963,0.0173024303878963
"61","inter-transect",0.522727272727273,0.34375,0.178977272727273
"62","inter-transect",NA,NA,NA
"63","inter-transect",0.728778467908903,0.5814696485623,0.147308819346602
"64","inter-transect",0.894112311994558,0.841354320009059,0.0527579919854992
"65","inter-transect",0.793248945147679,0.784140969162996,0.00910797598468373
"66","inter-transect",0.805673758865248,0.7808,0.0248737588652482
"67","inter-transect",NA,NA,NA
"68","inter-transect",0.856800479328939,0.817557251908397,0.0392432274205425
"69","inter-transect",0.831728045325779,0.775510204081633,0.0562178412441464
"70","inter-transect",0.635294117647059,0.563380281690141,0.071913835956918
"71","inter-transect",0.766105054509415,0.662857142857143,0.103247911652272
"72","inter-transect",0.711864406779661,0.622222222222222,0.0896421845574388
"73","inter-transect",0.784530386740331,0.663793103448276,0.120737283292056
"74","inter-transect",0.824257425742574,0.770721205597417,0.0535362201451577
"75","inter-transect",0.814977973568282,0.684210526315789,0.130767447252492
"76","inter-transect",0.756923076923077,0.637614678899083,0.119308398023994
"77","inter-transect",0.800590841949778,0.754545454545455,0.0460453874043239
"78","inter-transect",NA,NA,NA
"79","inter-transect",0.760869565217391,0.714285714285714,0.046583850931677
"80","inter-transect",0.623255813953488,0.584615384615385,0.0386404293381038
"81","inter-transect",0.51685393258427,0.441558441558442,0.0752954910258281
"82","inter-transect",NA,NA,NA
"83","inter-transect",0.580838323353293,0.426229508196721,0.154608815156572
"84","inter-transect",0.662100456621005,0.610526315789474,0.0515741408315309
"85","inter-transect",0.540540540540541,0.32,0.220540540540541
"86","inter-transect",0.650259067357513,0.568690095846645,0.0815689715108676
"87","inter-transect",0.564102564102564,0.32,0.244102564102564
"88","inter-transect",0.738095238095238,0.717948717948718,0.0201465201465201
"89","inter-transect",NA,NA,NA
"90","inter-transect",0.620512820512821,0.506666666666667,0.113846153846154
"91","inter-transect",NA,NA,NA
"92","inter-transect",0.826086956521739,0.803921568627451,0.0221653878942881
"93","inter-transect",0.795483061480552,0.751145038167939,0.0443380233126131
"94","inter-transect",0.835955056179775,0.81038961038961,0.0255654457901649
"95","inter-transect",0.602040816326531,0.566666666666667,0.0353741496598639
"96","inter-transect",0.840277777777778,0.803837953091684,0.0364398246860933
"97","inter-transect",0.5,0.387096774193548,0.112903225806452
"98","inter-transect",0.591397849462366,0.577777777777778,0.0136200716845878
"99","inter-transect",0.547945205479452,0.352941176470588,0.195004029008864
"100","inter-transect",0.887433628318584,0.844650708353688,0.0427829199648957
"101","inter-transect",NA,NA,NA
"102","inter-transect",0.571428571428571,0.554455445544555,0.016973125884017
"103","inter-transect",NA,NA,NA
"104","inter-transect",0.695652173913043,0.602272727272727,0.0933794466403162
"105","inter-transect",0.71,0.691489361702128,0.0185106382978723
"106","inter-transect",NA,NA,NA
"107","inter-transect",0.783505154639175,0.734177215189873,0.0493279394493018
"108","inter-transect",NA,NA,NA
"109","inter-transect",0.819029850746269,0.790194664744052,0.0288351860022167
"110","inter-transect",0.76078431372549,0.666666666666667,0.0941176470588235
"111","inter-transect",0.684073107049608,0.627692307692308,0.0563807993573007
"112","inter-transect",0.624505928853755,0.609053497942387,0.0154524309113681
"113","inter-transect",0.710280373831776,0.651685393258427,0.0585949805733487
"114","inter-transect",NA,NA,NA
"115","inter-transect",NA,NA,NA
"116","inter-transect",NA,NA,NA
"117","inter-transect",0.75,0.74,0.01
"118","inter-transect",0.870536692223439,0.845651606163489,0.02488508605995
"119","inter-transect",0.878698224852071,0.844106463878327,0.034591760973744
"120","inter-transect",0.824228028503563,0.791967871485944,0.0322601570176192
"121","inter-transect",0.713815789473684,0.635983263598326,0.0778325258753579
"122","inter-transect",0.644067796610169,0.60377358490566,0.0402942117045091
"123","inter-transect",0.63030303030303,0.590604026845638,0.0396990034573927
"124","inter-transect",0.85168630637952,0.79107040641099,0.0606158999685303
"125","inter-transect",0.844041735310269,0.812169312169312,0.0318724231409569
"126","inter-transect",0.838472834067548,0.812286689419795,0.0261861446477525
"127","inter-transect",0.493150684931507,0.447761194029851,0.0453894909016561
"128","inter-transect",0.609756097560976,0.5,0.109756097560976
"129","inter-transect",0.805807622504537,0.793036750483559,0.0127708720209782
"130","inter-transect",0.73469387755102,0.615384615384615,0.119309262166405
"131","inter-transect",0.802816901408451,0.801418439716312,0.00139846169213865
"132","inter-transect",0.846815834767642,0.801781737193764,0.0450340975738781
"133","inter-transect",0.680851063829787,0.660633484162896,0.0202175796668913
"134","inter-transect",0.671159029649596,0.541353383458647,0.129805646190949
"135","inter-transect",0.52027027027027,0.422764227642276,0.0975060426279939
"136","inter-transect",0.73866090712743,0.623052959501558,0.115607947625872
"137","inter-transect",0.844094488188976,0.755555555555556,0.0885389326334208
"138","inter-transect",0.702702702702703,0.421052631578947,0.281650071123755
"139","inter-transect",0.863343108504399,0.812248186946011,0.0510949215583875
"140","inter-transect",0.553191489361702,0.432432432432432,0.12075905692927
"141","inter-transect",0.767987065481002,0.748906386701662,0.0190806787793401
"142","inter-transect",0.694214876033058,0.564705882352941,0.129508993680117
"143","inter-transect",0.909352978859705,0.880791912384162,0.0285610664755436
"144","inter-transect",0.817204301075269,0.687116564417178,0.130087736658091
"145","inter-transect",0.760649087221095,0.697435897435897,0.0632131897851979
"146","inter-transect",0.789915966386555,0.71264367816092,0.0772722882256351
"147","inter-transect",0.758304696449026,0.719041278295606,0.0392634181534205
"148","inter-transect",0.698324022346369,0.608695652173913,0.0896283701724557
"149","inter-transect",0.805042016806723,0.73394495412844,0.0710970626782823
"150","inter-transect",0.428571428571429,0.428571428571429,0
"151","inter-transect",0.566844919786096,0.441379310344828,0.125465609441269
"152","inter-transect",0.842696629213483,0.75,0.0926966292134832
"153","inter-transect",0.845637583892617,0.777131782945736,0.068505800946881
"154","inter-transect",0.80672268907563,0.735632183908046,0.0710905051675843
"155","inter-transect",0.762589928057554,0.738095238095238,0.0244946899623159
"156","inter-transect",0.881900212314225,0.855378615534612,0.0265215967796134
"157","inter-transect",0.817092235539343,0.775718849840256,0.0413733856990878
"158","inter-transect",NA,NA,NA
"159","inter-transect",0.904322884654784,0.873886038347286,0.0304368463074979
"160","inter-transect",0.917260132073029,0.898102376016584,0.0191577560564443
"161","inter-transect",0.857461853368068,0.831351827388816,0.026110025979253
"162","inter-transect",0.895606107821751,0.882083773319254,0.0135223345024975
"163","inter-transect",0.81631254283756,0.74031007751938,0.0760024653181801
"164","inter-transect",0.870196671709531,0.834936514043863,0.035260157665668
"165","inter-transect",0.882026216396356,0.852949321517585,0.0290768948787712
"166","inter-transect",0.845173041894353,0.792581747193753,0.0525912947006003
