"","family","n_motus","n_motus_total","prop","station","site","province"
"21","Lutjanidae",16,104,0.153846153846154,"LENG003","site43","Western_Coral_Triangle"
"18","Labridae",8,104,0.0769230769230769,"LENG003","site43","Western_Coral_Triangle"
"33","Serranidae",8,104,0.0769230769230769,"LENG003","site43","Western_Coral_Triangle"
"1","Acanthuridae",6,104,0.0576923076923077,"LENG003","site43","Western_Coral_Triangle"
"9","Dasyatidae",6,104,0.0576923076923077,"LENG003","site43","Western_Coral_Triangle"
"2","Balistidae",5,104,0.0480769230769231,"LENG003","site43","Western_Coral_Triangle"
"4","Carangidae",5,104,0.0480769230769231,"LENG003","site43","Western_Coral_Triangle"
"16","Holocentridae",5,104,0.0480769230769231,"LENG003","site43","Western_Coral_Triangle"
"12","Gobiidae",3,104,0.0288461538461538,"LENG003","site43","Western_Coral_Triangle"
"19","Leiognathidae",3,104,0.0288461538461538,"LENG003","site43","Western_Coral_Triangle"
"23","Mullidae",3,104,0.0288461538461538,"LENG003","site43","Western_Coral_Triangle"
"29","Pomacentridae",3,104,0.0288461538461538,"LENG003","site43","Western_Coral_Triangle"
"7","Clupeidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"13","Haemulidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"24","Muraenidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"25","Myctophidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"26","Myliobatidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"32","Scombridae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"34","Siganidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"35","Sphyraenidae",2,104,0.0192307692307692,"LENG003","site43","Western_Coral_Triangle"
"3","Belonidae",1,104,0.00961538461538462,"LENG003","site43","Western_Coral_Triangle"
"5","Carcharhinidae",1,104,0.00961538461538462,"LENG003","site43","Western_Coral_Triangle"
"6","Chaetodontidae",1,104,0.00961538461538462,"LENG003","site43","Western_Coral_Triangle"
